ID P.F,NOMBRE FANTASIA,PROV,DEP,SEGMENTO,SUBSEGMENTACION,STOCK ROLLO,STOCK RESMA,STOCK SUBE,STOCK PRISMA
8149194,ORGANIZACION NELDO RAFFO SEGUROS,CORDOBA,1,4.C,4,"-0,270","0,000","0,000","3,672"
8149338,ORGANIZACION NELDO RAFFO SEGUROS I,CORDOBA,1,4.C,4,"-0,095","0,000","0,000","3,841"
8149340,ORGANIZACION NELDO RAFFO SEGUROS III,CORDOBA,1,5.D,6,"0,746","0,000","0,000","1,910"
8149329,ORGANIZACION NICORA,BUENOS AIRES,1,4.C,4,"1,691","0,000","0,000","0,774"
8149461,ORGANIZACION ONNEGLIA,SANTA FE,1,N,2,"2,745","0,653","0,000","1,000"
8149184,ORGANIZACION PALOMBO,SANTA FE,1,4.C,4,"-0,078","0,000","0,000","0,884"
8149588,ORGANIZACION PANBA,SANTA CRUZ,1,3.B,4,"2,094","0,000","0,000","2,664"
12649673,ORGANIZACION PARANA,ENTRE RIOS,1,2.A,3,"5,377","0,000","0,000","9,000"
12749053,ORGANIZACION PAZ,BUENOS AIRES,1,N,2,"0,000","0,161","0,000","0,000"
8149397,ORGANIZACION R.R.OBESIO SEGUROS,BUENOS AIRES,1,4.C,4,"-0,322","0,000","0,000","1,769"
12749051,ORGANIZACION RAM,BUENOS AIRES,1,4.C,4,"0,344","-0,064","0,000","0,804"
8149650,ORGANIZACION REIGENBORN,CHACO,1,3.B,4,"1,205","0,000","0,000","3,794"
8149384,ORGANIZACION RENATO SARATT,MISIONES,1,1.VIP,2,"1,579","0,000","0,000","6,552"
10349079,ORGANIZACION ROIGE,BUENOS AIRES,1,5.D,6,"0,040","0,000","0,000","1,869"
8149950,ORGANIZACION ROJAS LUIS GUILLON,BUENOS AIRES,1,N,2,"2,142","0,000","0,000","0,000"
8149949,ORGANIZACION ROJAS RUTA 4,BUENOS AIRES,1,4.C,4,"0,593","0,000","0,000","-0,114"
10349148,ORGANIZACION ROMEO,BUENOS AIRES,1,2.A,3,"2,318","0,000","0,000","1,527"
10349161,ORGANIZACION SEGUROS LOFREDO,BUENOS AIRES,1,5.D,6,"1,863","0,000","0,000","0,000"
8149801,ORGANIZACION SENN,SANTA FE,1,4.C,4,"0,857","0,000","0,000","2,000"
8149889,ORGANIZACION SUSAN,BUENOS AIRES,1,N,2,"0,288","0,000","0,000","0,000"
8149583,ORGANIZACION TROIANO,BUENOS AIRES,1,5.D,6,"-0,004","0,000","0,000","0,000"
8149584,ORGANIZACION TROIANO SAN MARTIN,BUENOS AIRES,1,5.D,6,"1,377","0,000","0,000","4,000"
8149969,ORGANIZACION VAZQUEZ FULL,BUENOS AIRES,1,N,2,"1,926","0,000","0,000","0,000"
8149755,ORGANIZACION WELTER GARUHAPE,MISIONES,1,2.A,3,"0,614","0,000","0,000","0,897"
8149753,ORGANIZACION WELTER PUERTO RICO,MISIONES,1,1.VIP,2,"4,296","0,000","0,000","1,916"
8149754,ORGANIZACION WELTER WANDA,MISIONES,1,4.C,4,"-0,102","-0,030","0,000","0,934"
8149469,ORGANIZACION ZIELKE,MISIONES,1,4.C,4,"1,334","0,000","0,000","3,870"
12749337,ORGANIZACION ZIELKE II,MISIONES,1,3.B,4,"2,010","1,804","0,000","4,823"
12749484,ORIENTE PROPIEDADES,SAN LUIS,1,4.C,4,"1,154","0,000","0,000","1,853"
10049147,ORIGEN TECH,CORDOBA,1,N,2,"-0,084","-0,120","0,000","-0,039"
7849090,ORIGENES FARA INMOBILIARIA,SAN LUIS,1,N,2,"0,000","0,000","0,000","0,000"
6949507,ORIGINAL Y COPIA,CORDOBA,1,1.VIP,2,"2,938","-0,383","0,000","2,057"
10349461,ORO,MISIONES,1,N,2,"-0,054","0,000","0,000","2,980"
9149107,ORO MAYO,ENTRE RIOS,1,N,2,"3,075","0,500","0,000","0,000"
8149505,ORSICH NESTOR,ENTRE RIOS,1,4.C,4,"1,738","0,000","0,000","0,000"
11849410,ORTOPEDIA QUIMILI,SANTIAGO DEL ESTERO,1,4.C,4,"-0,119","0,000","0,000","-0,034"
8149185,ORUE Y GODOY SEGUROS III,CORDOBA,1,4.C,4,"-0,039","0,000","0,000","8,717"
10349086,OSTENGO ABOGADOS,TUCUMAN,1,N,2,"0,567","0,000","0,000","0,000"
7549295,OXIGENO,CORDOBA,1,2.A,3,"2,279","0,000","0,000","2,473"
12949105,P&P FACIL,BUENOS AIRES,1,4.C,4,"0,748","0,660","0,000","0,000"
12949228,P.F. ZENSABELLO III,BUENOS AIRES,1,N,2,"0,990","0,000","0,000","0,000"
12791,P24 BARRIO 31,CAPITAL FEDERAL,1,5.D,6,"-0,182","0,000","0,000","0,000"
7249188,PACHAMAMA REGALERIA,SANTIAGO DEL ESTERO,1,4.C,4,"-0,248","-0,018","0,000","2,930"
10349243,PACHECO PAGOS 1,BUENOS AIRES,1,5.D,6,"5,264","0,336","0,000","0,000"
10349242,PACHECO PAGOS 2,BUENOS AIRES,1,4.C,4,"1,000","0,482","0,000","0,000"
12749671,PADIVI,MENDOZA,1,5.D,6,"-0,141","-0,106","0,000","-0,108"
12949397,PAGALOYA,CAPITAL FEDERAL,1,2.A,3,"2,408","0,000","0,000","0,000"
7149099,PAGAN,MENDOZA,1,2.A,3,"1,404","-0,072","0,000","9,527"
12649607,PAGARE CONTO,SANTA FE,1,N,2,"0,000","0,000","0,000","0,000"
12749576,PAGO 1 MERLO NORTE,BUENOS AIRES,1,N,2,"1,025","0,000","0,000","0,000"
12849562,PAGO 101,BUENOS AIRES,1,N,2,"1,000","1,000","0,000","0,000"
12749577,PAGO 2 PADUA SUR,BUENOS AIRES,1,5.D,6,"0,000","0,000","0,000","0,000"
12449939,PAGO ACA PACHECO,BUENOS AIRES,1,2.A,3,"4,147","0,716","0,000","3,499"
12749589,PAGO ALBERDI 1,TUCUMAN,1,N,2,"0,852","0,000","0,000","-0,032"
12749590,PAGO ALBERDI 2,TUCUMAN,1,5.D,6,"3,590","0,000","0,000","4,938"
12749280,PAGO BARRIO NORTE,BUENOS AIRES,1,N,2,"0,000","0,000","0,000","0,000"
10049129,PAGO CELINA,BUENOS AIRES,1,5.D,6,"0,000","0,000","0,000","0,000"
8949570,PAGO CENTER,TUCUMAN,1,2.A,3,"6,316","0,000","0,000","2,549"
12849152,PAGO CLUB,TUCUMAN,1,3.B,4,"-0,239","2,328","0,000","5,880"
10349256,PAGO CLUB II,TUCUMAN,1,4.C,4,"3,057","0,332","0,000","2,542"
8749376,PAGO DE SERVICIOS MARIANO MAX JESUS,CORDOBA,1,N,2,"0,000","0,000","0,000","0,000"
12149213,PAGO EXEQUIEL,TUCUMAN,1,1.VIP,2,"7,754","0,000","0,000","6,705"
8034120,PAGO FACIL - TELERECARGAS 120 (120),JUJUY,1,5.D,6,"3,874","0,000","0,000","0,000"
8034158,PAGO FACIL - TELERECARGAS 158 (158),BUENOS AIRES,1,5.D,6,"3,913","0,000","0,000","0,000"
8034194,PAGO FACIL - TELERECARGAS 194 (194),CORDOBA,1,5.D,6,"3,990","0,000","0,000","0,000"
10349337,PAGO FACIL ALVEAR,SANTA FE,1,1.VIP,2,"24,000","1,254","0,000","5,000"
9749513,PAGO FACIL LUCERO II,MENDOZA,1,N,2,"0,000","0,432","0,000","0,000"
7249196,PAGO FACIL PACHAMAMA,SANTIAGO DEL ESTERO,1,2.A,3,"1,495","-0,048","0,000","5,745"
12949328,PAGO FACIL ROXY,CAPITAL FEDERAL,1,1.VIP,2,"10,684","0,000","0,000","6,000"
12449447,PAGO FLORENCIA GONZALEZ,FORMOSA,1,N,2,"0,000","0,000","0,000","0,000"
7149046,PAGO FORMOSA II,FORMOSA,1,1.VIP,2,"3,687","-1,090","0,000","2,530"
9749564,PAGO FORMOSA III,FORMOSA,1,1.VIP,2,"1,719","-0,362","0,000","5,700"
